cafeno,name,address,business_hours,tel,thumb
9833,도깨비코티지,서울 용산구 소월로2나길 6-1,,02-717-0435,/home/data/thumb_img/img9833.jpg
9841,커피플러스,서울 중구 서소문로 116,,,/home/data/thumb_img/default2.jpg
9842,카페보니또 씨티스퀘어 시청점,서울 중구 서소문로 124 1층 103호,매일 07:30 ~ 23:00,02-6250-0970,/home/data/thumb_img/img9842.jpg
9843,이디야커피 동자동점,서울 용산구 후암로 93 1층,월~금 07:00 ~ 22:00,02-318-0711,/home/data/thumb_img/img9843.jpg
9852,이디야커피 아현역점,서울 서대문구 신촌로35길 10 e편한세상신촌 4단지 110호 우측,,,/home/data/thumb_img/default1.jpg
9856,카페노냥,서울 서대문구 통일로9길 8 1층,월~금 07:30 ~ 17:00,,/home/data/thumb_img/img9856.jpg
9858,빽다방 태평로점,서울 중구 세종대로 82,월~금 07:30 ~ 20:00,02-318-3323,/home/data/thumb_img/img9858.jpg
9865,카페정담,서울 중구 정동길 43,,,/home/data/thumb_img/img9865.jpg
9870,티팩토리 912 서울스퀘어점,서울 중구 한강대로 416 지하1층,,02-6456-8819,/home/data/thumb_img/default10.jpg
9872,이디야커피 정동점,서울 중구 정동길 2-1,매일 07:00 ~ 23:00,02-318-5950,/home/data/thumb_img/default7.jpg
9876,레지스탕스,서울 서대문구 통일로 145-1,,02-363-8337,/home/data/thumb_img/img9876.jpg
9880,도슨트,서울 용산구 소월로2길 37-2,영업시간 월~금 10:00 ~ 20:00,,/home/data/thumb_img/img9880.jpg
9882,스타벅스 강북삼성병원점,서울 종로구 새문안로 29 강북삼성병원 C동 미래의학관 5층,월~금 07:00 ~ 19:00,1522-3232,/home/data/thumb_img/default1.jpg
9890,소월길커피,서울 중구 정동길 18,,02-3789-3285,/home/data/thumb_img/img9890.jpg
9891,필리어스,서울 용산구 소월로2길 11 2층,,02-318-6571,/home/data/thumb_img/img9891.jpg
9894,커피앤모어,서울 중구 서소문로 133,,02-753-8336,/home/data/thumb_img/img9894.jpg
9907,김동훈커피&테라피,서울 중구 퇴계로 49 2층,매일 09:00 ~ 22:00,02-774-5967,/home/data/thumb_img/img9907.jpg
9913,모카커피숍,서울 중구 퇴계로 49,,02-777-0505,/home/data/thumb_img/img9913.jpg
9917,하나찻집,서울 서대문구 통일로 139,,02-362-4026,/home/data/thumb_img/default6.jpg
9918,이디야커피 애오개역점,서울 마포구 마포대로 208,매일 08:00 ~ 22:30,02-393-6325,/home/data/thumb_img/default9.jpg
9919,수목티,서울 중구 남대문시장길 14 1층,매일 07:00 ~ 21:00,02-318-8287,/home/data/thumb_img/default8.jpg
9923,헬라스커피,서울 중구 서소문로 130,,,/home/data/thumb_img/img9923.jpg
9924,킹스빈커피 태평로점,"서울 중구 세종대로 73 B102, B103",,,/home/data/thumb_img/default5.jpg
9932,폴바셋 코리아나호텔점,서울 중구 세종대로 135 코리아나호텔 1층,월~금 07:30 ~ 22:00,02-730-9455,/home/data/thumb_img/img9932.jpg
9936,텀브커피 북창동점,서울 중구 남대문로1길 30,,02-777-3356,/home/data/thumb_img/default8.jpg
9937,카페게이트 소공로북창점,서울 중구 남대문로1길 60 1층,월~금 07:30 ~ 22:00,02-771-0611,/home/data/thumb_img/default1.jpg
9939,커피팩토리,서울 중구 퇴계로 39,,,/home/data/thumb_img/default6.jpg
9942,아재커피 서울역점,서울 용산구 후암로57길 9,,02-3789-0662,/home/data/thumb_img/default5.jpg
9948,커피마을,서울 중구 퇴계로 39-2,,02-778-8008,/home/data/thumb_img/default2.jpg
9951,토스마이슈,서울 중구 세종대로18길 20-1,월~금 09:30 ~ 21:30,02-775-1114,/home/data/thumb_img/img9951.jpg
9953,비몬스터커피,서울 중구 남대문로 27 1층,,02-778-7652,/home/data/thumb_img/default8.jpg
9965,너드커피랩,서울 용산구 한강대로 363-1,,,/home/data/thumb_img/img9965.jpg
9971,카페꼰띠고 시청역점,서울 중구 서소문로 130,,070-4192-4001,/home/data/thumb_img/default9.jpg
9973,카페드아미디,서울 서대문구 신촌로29길 26,,,/home/data/thumb_img/img9973.jpg
9976,과일카페 또르몽,서울 종로구 새문안로 9 1층,,,/home/data/thumb_img/default9.jpg
9981,향수커피,서울 중구 남대문로 25,,02-318-7078,/home/data/thumb_img/default10.jpg
9988,타마고,서울 중구 소월로 3,,02-771-7737,/home/data/thumb_img/default9.jpg
9993,전통한방다전 남대문점,서울 중구 남대문로 34-1 1층,,02-755-4445,/home/data/thumb_img/img9993.jpg
10005,한암동 꽆,서울 중구 정동길 21-15 정동빌딩 신관 1층,,,/home/data/thumb_img/default10.jpg
10006,커피두,서울 마포구 마포대로19길 30,,02-313-4323,/home/data/thumb_img/default7.jpg
10007,꼬모드,서울 용산구 후암로34길 35,영업시간 화~토 12:00 ~ 20:00,,/home/data/thumb_img/img10007.jpg
10011,카페그레이스,서울 중구 세종대로21길 15 대한성공회 내,,070-8848-4234,/home/data/thumb_img/default5.jpg
10012,리사르커피로스터스,서울 중구 다산로8길 16-7 1층,월~금 10:00 ~ 12:00,070-7677-5538,/home/data/thumb_img/img10012.jpg
10014,심세정,서울 중구 퇴계로 409-11 1층,매일 09:00 ~ 22:00,070-8823-7577,/home/data/thumb_img/img10014.jpg
10022,스타벅스 약수역점,서울 중구 다산로 129,월~금 07:30 ~ 21:30,1522-3232,/home/data/thumb_img/img10022.jpg
10034,할리스커피 약수역점,서울 중구 다산로 114,영업시간 매일 00:00 ~ 02:00,02-2233-0866,/home/data/thumb_img/img10034.jpg
10038,카페구름,서울 중구 다산로 75,"월,화,수,목,금,일 08:00 ~ 19:00",,/home/data/thumb_img/img10038.jpg
10039,부엉이까페,서울 중구 다산로22길 23 1층,,070-7003-2225,/home/data/thumb_img/img10039.jpg
10050,이디야커피 신당점,서울 중구 다산로35길 11 1층,매일 10:00 ~ 23:00,02-2232-0807,/home/data/thumb_img/default10.jpg
10051,우주라이크커피 맥스타일점,서울 중구 마장로 3,,02-2218-1616,/home/data/thumb_img/img10051.jpg
10062,이디야커피 동평화점,서울 중구 청계천로 318,월~금 22:00 ~ 15:00,02-2231-4914,/home/data/thumb_img/default5.jpg
10081,하나원,서울 중구 다산로14길 11 한스오피스텔 101호,,,/home/data/thumb_img/img10081.jpg
10084,카페그래유,서울 중구 퇴계로 370-1 1층,영업시간 매일 10:30 ~ 22:00,02-2231-6388,/home/data/thumb_img/img10084.jpg
10106,더제로카페,서울 중구 동호로15길 13 1층,,02-2233-4053,/home/data/thumb_img/img10106.jpg
10109,리마인드커피,서울 중구 퇴계로80길 51-6,,02-2231-3763,/home/data/thumb_img/default7.jpg
10126,공원커피,서울 중구 다산로40길 33-14,,,/home/data/thumb_img/img10126.jpg
10141,라브리,서울 중구 퇴계로90길 36,,02-3298-5091,/home/data/thumb_img/default5.jpg
10143,행복당 신당점,서울 중구 퇴계로 407,,,/home/data/thumb_img/img10143.jpg
10145,호야 동대문점,서울 중구 다산로24길 15 1층,화~일 10:00 ~ 01:00,02-2234-1811,/home/data/thumb_img/img10145.jpg
10147,아지트카페,서울 중구 다산로44길 63,,02-2234-2006,/home/data/thumb_img/default4.jpg
10159,디포,서울 중구 다산로35길 17,,02-2235-4959,/home/data/thumb_img/default2.jpg
10177,디셈버일레븐,서울 중구 다산로46길 17 116호,,02-2231-9430,/home/data/thumb_img/default7.jpg
10178,비어카페크로씽,서울 중구 동호로 193-12,,02-2233-0421,/home/data/thumb_img/default3.jpg
10179,카페홉슈 신당점,서울 중구 다산로42길 12 1층,영업시간 월~금 10:30 ~ 22:00,02-2252-8252,/home/data/thumb_img/img10179.jpg
10181,브레드 원카페,서울 중구 동호로7길 31,,,/home/data/thumb_img/default4.jpg
10185,디자이너커피숍,서울 중구 마장로 28,,02-2232-0142,/home/data/thumb_img/default10.jpg
10187,맑은과일,서울 중구 청구로4길 13,,,/home/data/thumb_img/default6.jpg
10206,카페0691,서울 중구 다산로8길 32,,02-2175-7861,/home/data/thumb_img/default10.jpg
10210,카페702,서울 중구 마장로 28,,,/home/data/thumb_img/default8.jpg
10216,숲커피플라워,서울 중구 장충단로8나길 11,,,/home/data/thumb_img/default7.jpg
10218,감성커피 동대문역사문화공원역점,서울 중구 을지로 282-1,,,/home/data/thumb_img/default10.jpg
10233,설빙 동대문점,서울 중구 을지로 254 2층,영업시간 매일 11:00 ~ 01:00,02-2276-0992,/home/data/thumb_img/img10233.jpg
10260,제이히든하우스,서울 종로구 종로 269-4 1층,영업시간 매일 11:00 ~ 19:00,,/home/data/thumb_img/img10260.jpg
10295,C27 현대시티아울렛 동대문점,서울 중구 장충단로13길 20 지하2층,영업시간 매일 11:00 ~ 22:30,02-2283-2229,/home/data/thumb_img/img10295.jpg
10310,스타벅스 상왕십리역점,서울 성동구 왕십리로 382,월~금 07:00 ~ 22:00,1522-3232,/home/data/thumb_img/img10310.jpg
10317,투썸플레이스 제일제당사옥점,서울 중구 동호로 330 제일제당빌딩 1층,월~금 07:00 ~ 22:30,02-2272-2388,/home/data/thumb_img/img10317.jpg
10329,이디야커피 신금호역점,서울 성동구 금호산길 64,매일 08:00 ~ 22:00,02-2252-8349,/home/data/thumb_img/img10329.jpg
10339,커피나무,서울 중구 을지로43길 30,,,/home/data/thumb_img/img10339.jpg
10373,카페트리,서울 중구 마른내로 136-3 1층 101호,,,/home/data/thumb_img/img10373.jpg
10379,카페일일,서울 중구 마른내로 152 1층,,,/home/data/thumb_img/default5.jpg
10395,카페부호로,서울 중구 마른내로 154,,02-2275-6286,/home/data/thumb_img/default3.jpg
10397,카페91플러스,서울 중구 을지로38길 40,,02-2272-8528,/home/data/thumb_img/img10397.jpg
10398,터치카페 창신점,서울 종로구 종로50길 36,,010-4904-0459,/home/data/thumb_img/default10.jpg
10403,맥심드파리,서울 중구 장충단로13길 20 현대시티아울렛 동대문점 9층,,,/home/data/thumb_img/img10403.jpg
10417,별다방,서울 중구 난계로15길 32,,02-2253-2626,/home/data/thumb_img/default5.jpg
10424,퍼펙트아이스 현대시티아울렛 동대문점,서울 중구 장충단로13길 20 지하2층,,,/home/data/thumb_img/default9.jpg
10441,카페 알로우,서울 중구 마른내로 141,,,/home/data/thumb_img/img10441.jpg
10446,커피집,서울 중구 장충단로 275,,02-2275-2524,/home/data/thumb_img/default8.jpg
10458,다눔카페,서울 중구 동호로25길 33 1층,,070-8860-3913,/home/data/thumb_img/img10458.jpg
10481,다사랑커피숍,서울 종로구 종로44길 8,,,/home/data/thumb_img/default1.jpg
10494,느린산책,서울 성동구 무수막길 68,"영업시간 월,화,목,금,토 13:00 ~ 19:00",,/home/data/thumb_img/img10494.jpg
10502,카페르뷰,서울 중구 퇴계로 282,,,/home/data/thumb_img/default1.jpg
10514,씨디티 커피바,서울 중구 동호로14길 23,영업시간 월~토 11:00 ~ 21:00,010-4235-3161,/home/data/thumb_img/img10514.jpg
10519,공차 약수점,서울 중구 동호로 192 2층,매일 10:00 ~ 23:00,02-2235-0303,/home/data/thumb_img/img10519.jpg
10527,카페리빈 약수본점,서울 중구 동호로 191 선일빌딩 2층,월~금 08:00 ~ 24:00,,/home/data/thumb_img/img10527.jpg
10549,퓨전카페벗,서울 중구 동호로18길 33,,,/home/data/thumb_img/img10549.jpg
10564,연커피숍,서울 중구 다산로 130-1,,02-2234-2721,/home/data/thumb_img/default5.jpg
10567,카페오리,서울 중구 다산로 94,,02-554-8349,/home/data/thumb_img/default4.jpg
10575,스트로우베리트리,서울 중구 동호로 170,,,/home/data/thumb_img/img10575.jpg
10596,카페spoo,서울 중구 동호로24길 11,,02-2264-9456,/home/data/thumb_img/default1.jpg
10600,혜화디져트카페,서울 중구 필동로1길 30 동국대학교 혜화관 7층,,02-2260-8966,/home/data/thumb_img/default9.jpg
10610,스타벅스 동대문공원점,서울 중구 장충단로 229,월~금 07:00 ~ 22:00,1522-3232,/home/data/thumb_img/img10610.jpg
10621,더멤버스라운지,서울 중구 장충단로 60 3층,매일 07:00 ~ 21:00,02-2250-8159,/home/data/thumb_img/default10.jpg
10633,카페온스,서울 중구 청구로 63-1 1층,,,/home/data/thumb_img/default3.jpg
10659,음악의숲,서울 중구 을지로44길 17-7,,02-2274-2254,/home/data/thumb_img/default4.jpg
10671,T2갤러리카페,서울 중구 필동로 31,,02-2278-0677,/home/data/thumb_img/img10671.jpg
10672,카페드비반트,서울 중구 퇴계로53길 8 1층,,02-2261-1925,/home/data/thumb_img/img10672.jpg
10673,로즈베리모어,서울 중구 서애로 19-8,"영업시간 월,화,수,목,금,일 12:00 ~ 19:00",,/home/data/thumb_img/img10673.jpg
10681,커피온리 동국대점,서울 중구 서애로1길 14,월~금 07:00 ~ 20:30,,/home/data/thumb_img/default4.jpg
10682,팬도로시 동국대중앙도서관점,서울 중구 필동로1길 30 1층,,,/home/data/thumb_img/default2.jpg
10686,포도씨 동국대점,서울 중구 퇴계로46길 35 1층,,070-8885-5380,/home/data/thumb_img/img10686.jpg
10687,이디야커피 옥수동점,서울 성동구 매봉길 12,매일 07:30 ~ 22:30,02-2282-7119,/home/data/thumb_img/default5.jpg
10692,스트릿커피,서울 중구 퇴계로50길 43,,,/home/data/thumb_img/default10.jpg
10696,딸깍발이,서울 중구 서애로 18-9 1층,영업시간 월~금 11:00 ~ 22:00,02-2267-7009,/home/data/thumb_img/default6.jpg
10704,콩샌 동국대점,서울 중구 서애로1길 18-1,,02-2277-1118,/home/data/thumb_img/img10704.jpg
10719,멀티테리아 위,서울 중구 필동로1길 30 중앙도서관 5층,,,/home/data/thumb_img/default8.jpg
10727,커피당,서울 중구 필동로 31-1,월~토 07:30 ~ 21:00,,/home/data/thumb_img/img10727.jpg
10731,피콕그린,서울 중구 퇴계로51길 17-1 2층,,,/home/data/thumb_img/img10731.jpg
10732,성커피호프,서울 중구 다산로36길 20,,02-2238-6072,/home/data/thumb_img/default10.jpg
10746,토방골,서울 중구 마른내로 161,,02-2268-2690,/home/data/thumb_img/default3.jpg
10748,시그니처커피,서울 중구 퇴계로 299,,02-2261-0780,/home/data/thumb_img/default9.jpg
10750,커피산책,서울 중구 퇴계로36가길 100,,02-2278-2580,/home/data/thumb_img/default10.jpg
10756,호호스프,서울 중구 퇴계로 290,,02-2276-0708,/home/data/thumb_img/default6.jpg
10768,브러쉬,서울 성동구 금호동2가 118,,,/home/data/thumb_img/img10768.jpg
10773,사과나무,서울 중구 마른내로 124,,02-2275-5619,/home/data/thumb_img/default7.jpg
10779,더룸,서울 용산구 한남대로42가길 4,영업시간 매일 11:30 ~ 21:00,,/home/data/thumb_img/img10779.jpg
10781,커피브론즈충무로점,서울 중구 퇴계로 235,,02-2266-5522,/home/data/thumb_img/default10.jpg
10803,카페쉼,서울 중구 필동로 47,,02-2039-5554,/home/data/thumb_img/default3.jpg
10821,커피에반하다 남산한옥마을점,서울 중구 필동로8길 77,,02-2275-5014,/home/data/thumb_img/default9.jpg
10828,베이커리카페데쏘,서울 중구 필동로8길 73,,02-2269-0518,/home/data/thumb_img/default2.jpg
10834,빠세,서울 중구 퇴계로 235 남산센트럴자이주상복합 상가 1층 123호,,02-552-0402,/home/data/thumb_img/default3.jpg
10843,생태공간 목수,서울 성동구 독서당로 230 2층,영업시간 화~일 11:00 ~ 20:00,070-8152-3035,/home/data/thumb_img/default5.jpg
10849,해피스토리D카페,서울 중구 필동로 31-1,,,/home/data/thumb_img/default4.jpg
10850,샘터커피숍,서울 중구 마른내로 114,,02-2274-6949,/home/data/thumb_img/default8.jpg
10851,충무로피플스카페,서울 중구 퇴계로 218-9,,02-2271-5080,/home/data/thumb_img/default7.jpg
10852,에이피엠플레이스카페,서울 중구 을지로 276,,,/home/data/thumb_img/default2.jpg
10857,코와핀 동대문역사공원점,"서울 중구 을지로 지하 279 1,2호선 동대문역사문화공원역 A-4",,,/home/data/thumb_img/default7.jpg
10863,다향커피숍,서울 중구 마른내로 113-1,,02-2273-3230,/home/data/thumb_img/default8.jpg
10872,메인즈,서울 성동구 독서당로 223,,,/home/data/thumb_img/default7.jpg
10873,달강,서울 중구 퇴계로34길 28,,,/home/data/thumb_img/img10873.jpg
10875,케빈,서울 용산구 한남대로42길 15,영업시간 월~토 11:00 ~ 22:00,02-797-6780,/home/data/thumb_img/default10.jpg
10878,분나BUNNA,서울 성동구 독서당로 281,,,/home/data/thumb_img/default9.jpg
10879,엘피스카페,서울 중구 퇴계로45길 27,,070-2238-8561,/home/data/thumb_img/default6.jpg
10881,커피타임,서울 중구 을지로 254,,,/home/data/thumb_img/default5.jpg
10885,페르시안블루,서울 중구 퇴계로 235,,02-2276-0131,/home/data/thumb_img/default3.jpg
10898,뉴천지커피숍,서울 중구 을지로38길 20,,02-2265-6131,/home/data/thumb_img/default5.jpg
10902,데드비트클럽,서울 용산구 한남대로42길 12,,,/home/data/thumb_img/img10902.jpg
10905,다사헌,서울 중구 퇴계로34길 28,화요일,02-2285-3374,/home/data/thumb_img/default5.jpg
10927,할리스커피 충무로역점,서울 중구 퇴계로36길 2 1층,월~금 07:00 ~ 24:00,02-2268-8960,/home/data/thumb_img/img10927.jpg
10928,아이스베리 동대문점,서울 중구 장충단로 247 굿모닝 시티 9층 13호,,,/home/data/thumb_img/default6.jpg
10953,북파크,서울 용산구 이태원로 294 2층,영업시간 화~일 11:00 ~ 22:00,02-6367-2018,/home/data/thumb_img/img10953.jpg
10960,눈꽃마녀위키드스노우 동대문점,서울 중구 장충단로 259,,02-2272-8133,/home/data/thumb_img/img10960.jpg
10964,진양다방,서울 중구 마른내로8길 16,,,/home/data/thumb_img/default5.jpg
10982,셀바,서울 중구 퇴계로36길 9,,,/home/data/thumb_img/default5.jpg
10993,아우프글렛,서울 성동구 독서당로51길 7 1층,영업시간 매일 12:00 ~ 22:00,,/home/data/thumb_img/default4.jpg
11000,이디야커피 충무로점,서울 중구 퇴계로 188,매일 07:30 ~ 23:00,02-2264-1213,/home/data/thumb_img/img11000.jpg
11006,매머드익스프레스,서울 중구 장충단로13길 43,,,/home/data/thumb_img/img11006.jpg
11009,분카샤 충무로점,서울 중구 퇴계로31길 16 우형빌딩 4층,영업시간 매일 11:00 ~ 23:00,,/home/data/thumb_img/img11009.jpg
11026,멀리가는향기,서울 중구 다산로 32 제2상가 1층 102호,,,/home/data/thumb_img/img11026.jpg
11043,그라운드125,서울 중구 동호로14길 7,월~금 08:00 ~ 22:00,02-2252-1250,/home/data/thumb_img/img11043.jpg
11064,카페벗티,서울 중구 다산로 41,,02-2233-7009,/home/data/thumb_img/default5.jpg
11085,커피빈 동대입구역점,서울 중구 동호로24길 11,월~목 07:00 ~ 23:00,02-2264-8247,/home/data/thumb_img/img11085.jpg
11087,로코코커피바,서울 성동구 매봉길 50 옥수파크힐스 126동 B112호,,,/home/data/thumb_img/img11087.jpg
11096,보그너커피 금호점,서울 성동구 장터1가길 6 1층,,,/home/data/thumb_img/img11096.jpg
11113,오후카페,서울 중구 장충단로 59,,070-4229-1900,/home/data/thumb_img/default8.jpg
11154,카페바이농축원,"서울 중구 동호로24길 19 지하1층,1층",,,/home/data/thumb_img/img11154.jpg
11165,카페시트러스페이퍼,서울 성동구 독서당로 194-1 1층 3호,월~금 08:30 ~ 19:00,02-2291-1941,/home/data/thumb_img/img11165.jpg
11167,알코롱,서울 중구 퇴계로50길 39 1층,영업시간 월~금 12:00 ~ 20:00,02-2275-3997,/home/data/thumb_img/img11167.jpg
11169,카페바인 필동점,서울 중구 퇴계로36가길 97 지하 1층,영업시간 월~금 11:00 ~ 18:00,,/home/data/thumb_img/img11169.jpg
11174,버터스토리,서울 성동구 금호산길 3 1층,매일 10:30 ~ 21:00,02-2237-7169,/home/data/thumb_img/img11174.jpg
11178,타마시플로라카페,서울 중구 장충단로7길 21,월~토 10:30 ~ 20:00,02-2273-6938,/home/data/thumb_img/default4.jpg
11190,푸드스토리705,서울 중구 장충단로7길 9-1,,02-2273-2300,/home/data/thumb_img/img11190.jpg
11192,스페셜빈,서울 성동구 금호로 152-2,,02-2299-4292,/home/data/thumb_img/img11192.jpg
11198,카페수다,서울 중구 청구로 64,,02-2231-8209,/home/data/thumb_img/img11198.jpg
11199,아니스,서울 성동구 독서당로 160,화요일,,/home/data/thumb_img/img11199.jpg
11211,베리베리굿하우스,서울 용산구 한남대로42나길 28,,,/home/data/thumb_img/default3.jpg
11237,브이카페 충무로점,서울 중구 퇴계로36나길 6,,02-544-7276,/home/data/thumb_img/default9.jpg
11257,뽀샵,서울 중구 필동로1길 3,,02-2276-0998,/home/data/thumb_img/img11257.jpg
11271,블리스가든,서울 중구 필동로 16 1층,월~금 09:00 ~ 22:00,,/home/data/thumb_img/img11271.jpg
11275,디어니,서울 중구 장충단로 209,,,/home/data/thumb_img/default7.jpg
11276,D카페,서울 중구 필동로 31-1,,,/home/data/thumb_img/default2.jpg
11281,투썸플레이스 CJ인재원점,서울 중구 필동로 26,매일 07:00 ~ 18:00,02-2280-3196,/home/data/thumb_img/default10.jpg
11285,인터플레이커피,서울 중구 다산로38길 60 각신타운 1층 103호,,02-2238-7618,/home/data/thumb_img/img11285.jpg
11288,이디야커피 논골사거리점,서울 성동구 난계로 35,월~금 08:00 ~ 23:00,02-2296-5969,/home/data/thumb_img/img11288.jpg
11291,커피나무 필동점,서울 중구 필동로 24,,02-2274-7099,/home/data/thumb_img/img11291.jpg
11292,어반트리,서울 중구 퇴계로 254-1,월~금 06:30 ~ 20:00,02-2285-5859,/home/data/thumb_img/img11292.jpg
11296,ANNISE,서울 성동구 독서당로 160,,,/home/data/thumb_img/default4.jpg
11299,히얼아이엠,서울 중구 퇴계로36나길 20,,,/home/data/thumb_img/default2.jpg
11309,카페하임,서울 중구 퇴계로 307,,02-2266-5475,/home/data/thumb_img/default3.jpg
11312,커피앤조이,서울 중구 퇴계로 289,,02-2276-1533,/home/data/thumb_img/default5.jpg
11314,할리스커피 블루스퀘어점,서울 용산구 이태원로 294,영업시간 매일 11:00 ~ 22:00,02-790-1273,/home/data/thumb_img/default8.jpg
11317,빈스브라운,서울 성동구 독서당로39길 46-29,,,/home/data/thumb_img/default10.jpg
11319,스트리트거피,서울 중구 필동로 30-1,,,/home/data/thumb_img/default4.jpg
11323,미엘드파리,서울 성동구 금호로 107 레미안하이리버상가 B203호,,02-2231-6588,/home/data/thumb_img/default7.jpg
11332,PaperSt,서울 중구 동호로 327,,,/home/data/thumb_img/default5.jpg
11335,구쁘,서울 성동구 한림말길 40,,02-2297-6679,/home/data/thumb_img/img11335.jpg
11338,제퍼빈스,서울 성동구 독서당로 156 301호,,02-2292-3330,/home/data/thumb_img/default7.jpg
11354,I빈커피,서울 중구 서애로 10-1,,,/home/data/thumb_img/default5.jpg
11360,윙크,서울 중구 필동로 15-8,,,/home/data/thumb_img/default8.jpg
11374,플레이스케이프,서울 중구 을지로 264 지하3층,,,/home/data/thumb_img/img11374.jpg
11376,공차 동대문롯데피트인점,서울 중구 을지로 264 8층,영업시간 매일 11:00 ~ 23:00,02-6262-4821,/home/data/thumb_img/default5.jpg
11380,위더커피,서울 성동구 독서당로 327 1층,영업시간 월~금 12:00 ~ 22:00,070-4116-7358,/home/data/thumb_img/img11380.jpg
11381,이디야커피 충무필동점,서울 중구 퇴계로 218-5,,02-2266-4477,/home/data/thumb_img/default2.jpg
11388,슈타이프카페,서울 중구 마른내로12길 7-4,,,/home/data/thumb_img/img11388.jpg
11395,카페나인,서울 중구 다산로40길 32,,,/home/data/thumb_img/default1.jpg
11418,탭플레이커피 동대문롯데피트인점,서울 중구 을지로 264 롯데피트인몰 4층,,,/home/data/thumb_img/default3.jpg
11426,카페오랑쥬,서울 중구 퇴계로36길 32,월~금 10:30 ~ 21:30,02-2273-2460,/home/data/thumb_img/img11426.jpg
11433,스타벅스 신당역사거리점,서울 중구 다산로 258,월~금 07:00 ~ 22:00,1522-3232,/home/data/thumb_img/img11433.jpg
11448,호랑이,서울 중구 을지로 157 대림상가 3층 라열 351호,영업시간 월~토 11:00 ~ 19:00,02-2269-5880,/home/data/thumb_img/img11448.jpg
11463,달콤커피 동대문역사문화공원점,서울 중구 장충단로 247 굿모닝시티 2층,화요일,02-2269-8007,/home/data/thumb_img/img11463.jpg
11465,휴우,서울 중구 퇴계로 210-14,,,/home/data/thumb_img/default6.jpg
11471,스테이모어,서울 용산구 한남대로27가길 34 1층,영업시간 화~일 12:00 ~ 20:00,070-7723-2718,/home/data/thumb_img/img11471.jpg
11477,브라운 슈가스위츠,서울 용산구 독서당로34길 16,,,/home/data/thumb_img/default2.jpg
11479,마노핀 충무로역점,서울 중구 퇴계로 지하 199,매일 07:00 ~ 22:00,02-2271-5858,/home/data/thumb_img/default7.jpg
11482,오아시스 한남점,"서울 용산구 이태원로45길 30 1,2층",월~토 09:00 ~ 20:00,02-790-8906,/home/data/thumb_img/img11482.jpg
11496,로우커피한남,서울 용산구 이태원로54길 26 지하1층,화~일 11:00 ~ 22:00,,/home/data/thumb_img/default9.jpg
11520,에슬로우,서울 중구 다산로14길 12,,070-8261-5959,/home/data/thumb_img/img11520.jpg
11561,카페마론,서울 중구 청구로10길 2,,02-2254-0405,/home/data/thumb_img/default7.jpg
11585,보노보노,서울 성동구 금호로 158,,,/home/data/thumb_img/default7.jpg
11643,보그너커피숍,서울 성동구 금호로 141-1,,070-8888-3507,/home/data/thumb_img/default1.jpg
11670,달아디저트,서울 중구 다산로40길 23,,,/home/data/thumb_img/default5.jpg
11686,쉬시공,서울 중구 퇴계로90길 74 하이베르아파트 상가 206호,,,/home/data/thumb_img/default2.jpg
11692,오드마켓,서울 중구 장충단로 170 1층,월~토 11:00 ~ 21:00,,/home/data/thumb_img/img11692.jpg
11694,광희문커피,서울 중구 퇴계로 368 1층,,02-2231-6388,/home/data/thumb_img/default3.jpg
11703,지니어스커피바,서울 성동구 독서당로 290-1 나동 1~3층,매일 08:30 ~ 24:00,02-2297-6232,/home/data/thumb_img/img11703.jpg
11705,유호커피,서울 중구 을지로 286 1층,영업시간 매일 12:00 ~ 24:00,,/home/data/thumb_img/default1.jpg
11708,커피홀 장충동점,서울 중구 장충단로8길 11 대아빌딩 1층,,070-5022-4465,/home/data/thumb_img/default10.jpg
11711,쉬 헤이츠 그린,"서울 중구 다산로33길 87 1,2층",,,/home/data/thumb_img/default3.jpg
11712,우드,서울 중구 퇴계로 373-3,,,/home/data/thumb_img/default8.jpg
11754,카페플로이나,서울 성동구 매봉길 50 파크힐스상가 지하1층 103호,,02-515-2885,/home/data/thumb_img/default5.jpg
11771,티프,서울 중구 퇴계로53길 6-17 지하 1층,영업시간 매일 11:30 ~ 21:30,,/home/data/thumb_img/img11771.jpg
11777,티라레미수 동대문디자인플라자점,서울 중구 을지로 281 동대문디자인플라자 디자인장터 지하2층 14-4호,,02-2153-0780,/home/data/thumb_img/img11777.jpg
11779,엔제리너스 롯데마트행당점,서울 성동구 행당로 76 지하2층,매일 10:00 ~ 21:30,02-2298-5533,/home/data/thumb_img/default7.jpg
11791,떼루와 광희점,서울 중구 마른내로 154-1,,02-2271-6615,/home/data/thumb_img/default3.jpg
11793,오리지널 피지,서울 중구 장충단로 226,,02-2261-3362,/home/data/thumb_img/img11793.jpg
11795,그루터기카페,서울 중구 필동로1길 30,,,/home/data/thumb_img/img11795.jpg
11812,로만티카,서울 중구 퇴계로 437-1,,02-2252-9799,/home/data/thumb_img/default10.jpg
11813,카페뉴욕,서울 중구 을지로45길 46,,02-2233-8886,/home/data/thumb_img/default10.jpg
11823,파나마,서울 중구 퇴계로73가길 26,,02-2252-8883,/home/data/thumb_img/default5.jpg
11840,왕십리교회 로뎀카페,서울 성동구 난계로 160 1층,,,/home/data/thumb_img/default7.jpg
11846,웰빙쌀효모,서울 성동구 동호로 93,,070-8226-6389,/home/data/thumb_img/default6.jpg
